EmployeeID,Age,Department,Salary,YearsAtCompany,PerformanceScore,TrainingHours,SatisfactionScore,Attrition
EMP00058,35,Sales,67831.69,16,Meets Expectations,98.0,1.0,No
EMP00059,52,Engineering,,11,Meets Expectations,98.0,5.0,Yes
EMP00060,36,Engineering,104964.17,18,Low,60.0,3.0,No
EMP00061,29,Finance,113023.41,19,Meets Expectations,21.0,2.0,No
EMP00062,35,Sales,124240.71,2,Exceeds Expectations,17.0,1.0,No
EMP00063,44,Engineering,83313.84,12,Meets Expectations,67.0,3.0,No
EMP00064,42,Marketing,114840.29,15,Meets Expectations,97.0,5.0,No
EMP00065,37,Engineering,76442.38,10,Outstanding,32.0,3.0,No
EMP00066,39,Sales,,19,Low,46.0,5.0,No
EMP00067,45,Finance,90187.22,15,Exceeds Expectations,20.0,2.0,No
EMP00068,47,Engineering,96141.95,19,Meets Expectations,26.0,1.0,No
EMP00069,46,HR,95587.7,1,Outstanding,65.0,,No
EMP00070,50,Engineering,44882.37,3,Meets Expectations,62.0,1.0,No
EMP00071,36,Engineering,56896.95,3,Exceeds Expectations,76.0,3.0,No
EMP00072,22,Engineering,87563.54,16,Needs Improvement,11.0,2.0,No
EMP00073,46,Sales,42818.02,0,Outstanding,38.0,1.0,No
EMP00074,28,Sales,105780.28,0,Meets Expectations,66.0,5.0,No
EMP00075,30,Marketing,106788.9,4,Meets Expectations,43.0,1.0,No
EMP00076,45,Engineering,93179.26,11,Needs Improvement,87.0,2.0,No
EMP00077,22,Sales,56971.65,5,Outstanding,91.0,2.0,No
EMP00078,29,Engineering,119503.47,5,Meets Expectations,11.0,3.0,No
EMP00079,45,Marketing,,16,Needs Improvement,84.0,5.0,No
EMP00080,32,Sales,88676.92,12,Needs Improvement,40.0,,No
EMP00081,38,Engineering,97763.38,7,Meets Expectations,86.0,2.0,Yes
EMP00082,29,Sales,90043.47,11,Meets Expectations,53.0,1.0,Yes
EMP00083,56,Sales,98259.23,14,Meets Expectations,99.0,4.0,No
EMP00084,56,Sales,82011.03,18,Outstanding,65.0,5.0,Yes
EMP00085,54,Marketing,84135.89,19,Meets Expectations,63.0,5.0,Yes
EMP00086,26,Sales,107642.94,16,Outstanding,62.0,4.0,No
EMP00087,49,Sales,143640.6,8,Meets Expectations,83.0,5.0,No
EMP00088,28,Engineering,49998.22,17,Exceeds Expectations,85.0,4.0,No
EMP00089,30,Marketing,82404.69,1,Meets Expectations,95.0,1.0,Yes
EMP00090,29,Engineering,55488.49,10,Meets Expectations,55.0,4.0,Yes
EMP00091,33,Engineering,124800.62,19,Meets Expectations,63.0,3.0,No
EMP00092,55,Sales,70306.55,16,Meets Expectations,40.0,4.0,No
EMP00093,54,Engineering,,17,Outstanding,,1.0,Yes
EMP00094,44,Engineering,100954.67,14,Meets Expectations,33.0,5.0,No
EMP00095,45,Engineering,128607.78,6,Exceeds Expectations,34.0,3.0,No
EMP00096,58,Engineering,101589.95,15,Meets Expectations,44.0,4.0,No
EMP00097,56,Engineering,90119.95,0,Meets Expectations,66.0,1.0,No
EMP00098,43,Sales,95228.52,17,Meets Expectations,81.0,3.0,No
EMP00099,48,Engineering,120371.02,7,Meets Expectations,78.0,3.0,No
EMP00100,56,Sales,63145.02,6,Needs Improvement,95.0,3.0,No
EMP00101,22,Marketing,82203.82,1,Exceeds Expectations,37.0,4.0,No
EMP00102,56,Finance,73682.75,11,Outstanding,85.0,1.0,No
EMP00103,58,Finance,55803.37,15,Meets Expectations,42.0,1.0,No
EMP00104,35,Finance,76790.62,8,Outstanding,62.0,1.0,No
EMP00105,24,HR,112693.03,19,Meets Expectations,25.0,2.0,No
EMP00106,22,Marketing,99165.05,10,Meets Expectations,,5.0,No
EMP00107,26,Engineering,101107.76,14,Meets Expectations,21.0,1.0,No
EMP00108,47,HR,88661.89,2,Needs Improvement,96.0,2.0,No
EMP00109,35,Engineering,98083.09,12,Needs Improvement,99.0,2.0,No
EMP00110,48,Engineering,64985.24,12,Meets Expectations,86.0,3.0,No
EMP00111,30,Marketing,77262.25,1,Low,96.0,5.0,Yes
EMP00112,36,Engineering,89800.11,5,Needs Improvement,40.0,3.0,No
EMP00113,36,Engineering,91937.9,5,Needs Improvement,36.0,5.0,No
EMP00114,47,Finance,93004.7,11,Low,45.0,3.0,No
EMP00115,34,Sales,81541.62,3,Needs Improvement,68.0,4.0,No
EMP00116,53,Engineering,75564.41,4,Meets Expectations,96.0,5.0,Yes
EMP00117,53,Finance,163944.28,7,Exceeds Expectations,12.0,2.0,No
EMP00118,25,HR,107669.68,5,Needs Improvement,41.0,2.0,No
EMP00119,51,Engineering,95328.69,2,Needs Improvement,24.0,5.0,No
EMP00120,58,Engineering,79169.79,7,Exceeds Expectations,84.0,3.0,No
EMP00121,44,Engineering,73719.53,18,Low,75.0,4.0,No
EMP00122,36,Finance,81729.99,10,Exceeds Expectations,99.0,4.0,No
EMP00123,50,Engineering,92320.72,17,Needs Improvement,72.0,1.0,No
EMP00124,57,Engineering,37989.11,9,Meets Expectations,10.0,5.0,No
EMP00125,34,Sales,45765.26,19,Needs Improvement,84.0,4.0,No
EMP00126,53,Sales,69077.94,11,Meets Expectations,14.0,3.0,No
EMP00127,28,Finance,90178.49,19,Exceeds Expectations,99.0,3.0,No
EMP00128,43,Engineering,79018.17,7,Needs Improvement,,,No
EMP00129,49,HR,121953.03,18,Outstanding,14.0,4.0,No
EMP00130,23,Sales,47940.08,15,Meets Expectations,82.0,4.0,Yes
EMP00131,27,HR,66216.36,17,Outstanding,37.0,3.0,No
EMP00132,49,Finance,123002.29,8,Needs Improvement,92.0,2.0,No
EMP00133,49,Engineering,88277.98,3,Needs Improvement,78.0,4.0,No
EMP00134,41,Sales,107121.06,8,Meets Expectations,96.0,3.0,No
EMP00135,51,Engineering,136281.17,1,Needs Improvement,53.0,2.0,No
EMP00136,32,Marketing,67654.89,8,Exceeds Expectations,25.0,2.0,Yes
EMP00137,49,Engineering,82517.14,8,Meets Expectations,80.0,3.0,No
EMP00138,46,Finance,78189.33,17,Meets Expectations,87.0,2.0,No
EMP00139,54,HR,36135.17,10,Needs Improvement,31.0,2.0,Yes
EMP00140,22,Finance,77240.08,12,Meets Expectations,82.0,1.0,No
EMP00141,48,HR,107026.55,5,Meets Expectations,32.0,2.0,No
EMP00142,34,Sales,,8,Exceeds Expectations,52.0,4.0,No
EMP00143,24,Engineering,100477.08,15,Meets Expectations,77.0,2.0,No
EMP00144,27,Engineering,75612.28,3,Outstanding,52.0,4.0,No
EMP00145,29,Finance,68597.57,1,Outstanding,35.0,3.0,No
EMP00146,48,Marketing,116731.39,6,Exceeds Expectations,50.0,2.0,No
EMP00147,30,HR,72567.07,14,Meets Expectations,79.0,3.0,No
EMP00148,58,Engineering,92352.05,5,Meets Expectations,40.0,,No
EMP00149,54,Sales,89083.37,10,Needs Improvement,26.0,2.0,No
EMP00150,45,Marketing,,19,Outstanding,18.0,3.0,No
EMP00151,36,Engineering,109285.31,16,Outstanding,64.0,5.0,Yes
EMP00152,53,Engineering,52618.53,3,Low,15.0,4.0,No
EMP00153,53,HR,55311.17,18,Meets Expectations,79.0,4.0,No
EMP00154,45,Sales,99472.75,6,Exceeds Expectations,73.0,4.0,Yes
EMP00155,33,Engineering,83391.56,10,Needs Improvement,13.0,4.0,Yes
EMP00156,23,Engineering,73620.71,12,Needs Improvement,76.0,4.0,No
EMP00157,24,Sales,110390.7,2,Outstanding,97.0,1.0,No
EMP00158,58,Finance,89686.48,13,Exceeds Expectations,65.0,3.0,No
EMP00159,38,Engineering,86311.43,1,Outstanding,27.0,5.0,No
EMP00160,23,Sales,104495.72,17,Needs Improvement,41.0,5.0,No
EMP00161,23,Engineering,75622.28,4,Meets Expectations,94.0,2.0,Yes
EMP00162,49,Marketing,124212.97,12,Meets Expectations,57.0,3.0,No
EMP00163,44,Engineering,65298.81,12,Meets Expectations,38.0,1.0,Yes
EMP00164,58,Engineering,101423.23,13,Meets Expectations,41.0,1.0,Yes
EMP00165,53,Sales,120845.82,11,Exceeds Expectations,34.0,3.0,No
EMP00166,54,Sales,50567.61,12,Outstanding,85.0,4.0,No
EMP00167,22,Engineering,76416.62,17,Meets Expectations,72.0,4.0,No
EMP00168,40,Marketing,113555.18,12,Needs Improvement,18.0,3.0,No
EMP00169,23,Finance,113931.11,3,Needs Improvement,80.0,5.0,No
EMP00170,47,Sales,80712.61,9,Meets Expectations,23.0,4.0,No
EMP00171,53,Engineering,66633.22,4,Needs Improvement,29.0,2.0,Yes
EMP00172,27,Finance,108898.4,17,Meets Expectations,93.0,1.0,No
EMP00173,53,Engineering,114588.73,7,Meets Expectations,19.0,4.0,No
EMP00174,25,Marketing,55883.42,13,Exceeds Expectations,20.0,5.0,No
EMP00175,32,Sales,,1,Meets Expectations,48.0,4.0,No
EMP00176,38,Finance,90631.42,7,Meets Expectations,28.0,4.0,Yes
EMP00177,59,Marketing,100734.02,15,Exceeds Expectations,28.0,1.0,No
EMP00178,45,Finance,77523.27,6,Meets Expectations,52.0,2.0,No
EMP00179,26,HR,101982.35,2,Outstanding,70.0,2.0,No
EMP00180,55,Engineering,67246.58,3,Meets Expectations,79.0,5.0,No
EMP00181,27,Finance,32132.66,6,Outstanding,81.0,3.0,No
EMP00182,43,Engineering,74402.47,3,Meets Expectations,74.0,3.0,No
EMP00183,32,Engineering,86580.8,8,Meets Expectations,32.0,3.0,No
EMP00184,37,Marketing,78104.0,16,Meets Expectations,69.0,5.0,No
EMP00185,54,Marketing,56034.92,16,Outstanding,19.0,4.0,No
EMP00186,30,Finance,39608.78,19,Meets Expectations,72.0,2.0,No
EMP00187,27,Engineering,72147.78,13,Needs Improvement,11.0,2.0,No
EMP00188,37,Marketing,107441.39,13,Meets Expectations,45.0,4.0,No
EMP00189,50,Marketing,116404.94,12,Meets Expectations,66.0,2.0,No
EMP00190,24,Sales,114692.83,3,Meets Expectations,75.0,,No
EMP00191,41,Engineering,64602.26,12,Outstanding,88.0,3.0,No
EMP00192,57,Engineering,56157.34,16,Outstanding,29.0,3.0,No
EMP00193,40,Engineering,97415.87,14,Meets Expectations,51.0,1.0,Yes
EMP00194,47,Finance,100877.5,17,Needs Improvement,30.0,,No
EMP00195,24,HR,95004.24,10,Meets Expectations,97.0,2.0,No
EMP00196,40,Marketing,34648.42,3,Meets Expectations,75.0,3.0,No
EMP00197,41,Finance,63327.89,19,Meets Expectations,47.0,1.0,No
EMP00198,53,Engineering,84257.78,10,Exceeds Expectations,95.0,1.0,No
EMP00199,28,Marketing,97180.45,9,Meets Expectations,87.0,3.0,No
EMP00200,54,Engineering,104182.68,12,Needs Improvement,78.0,1.0,No
EMP00201,39,Finance,88606.34,7,Exceeds Expectations,33.0,4.0,No
EMP00202,22,Sales,93269.6,12,Needs Improvement,35.0,4.0,Yes
EMP00203,32,Finance,87121.64,8,Low,11.0,3.0,No
EMP00204,49,Engineering,102140.48,0,Exceeds Expectations,55.0,3.0,No
EMP00205,46,Engineering,92821.64,0,Meets Expectations,43.0,1.0,No
EMP00206,44,Marketing,86643.44,14,Meets Expectations,71.0,2.0,Yes
EMP00207,52,Engineering,78290.78,3,Meets Expectations,96.0,5.0,No
EMP00208,51,HR,87032.29,19,Low,50.0,4.0,No
EMP00209,56,Engineering,97114.78,0,Meets Expectations,24.0,4.0,No
EMP00210,28,Marketing,91686.88,11,Meets Expectations,64.0,3.0,No
EMP00211,37,Engineering,,10,Meets Expectations,12.0,2.0,No
EMP00212,47,Sales,118568.05,18,Meets Expectations,85.0,3.0,No
EMP00213,23,Engineering,91629.1,14,Exceeds Expectations,47.0,1.0,No
EMP00214,22,Engineering,68775.04,9,Meets Expectations,60.0,2.0,No
EMP00215,33,Sales,107090.17,0,Exceeds Expectations,26.0,1.0,No
EMP00216,26,Engineering,50845.04,2,Exceeds Expectations,92.0,4.0,No
EMP00217,58,Engineering,57964.67,13,Exceeds Expectations,58.0,3.0,No
EMP00218,53,Sales,93396.18,14,Meets Expectations,30.0,3.0,No
EMP00219,30,Engineering,97909.92,0,Meets Expectations,97.0,5.0,Yes
EMP00220,56,Finance,53873.72,9,Meets Expectations,33.0,2.0,Yes
EMP00221,40,Sales,75429.56,0,Exceeds Expectations,92.0,4.0,No
EMP00222,37,Engineering,69847.9,14,Meets Expectations,49.0,5.0,No
EMP00223,24,HR,72833.09,2,Exceeds Expectations,29.0,5.0,No
EMP00224,41,Engineering,108589.94,19,Meets Expectations,88.0,3.0,Yes
EMP00225,45,Marketing,102662.64,11,Needs Improvement,44.0,2.0,No
EMP00226,54,Engineering,84521.95,18,Meets Expectations,57.0,3.0,No
EMP00227,45,Engineering,71350.95,15,Needs Improvement,42.0,2.0,No
EMP00228,32,Sales,51258.76,7,Low,65.0,5.0,No
EMP00229,29,HR,120504.62,13,Exceeds Expectations,50.0,1.0,No
EMP00230,57,HR,99802.85,17,Meets Expectations,63.0,4.0,No
EMP00231,59,Sales,67333.27,0,Meets Expectations,53.0,5.0,No
EMP00232,41,Engineering,,1,Meets Expectations,91.0,3.0,No
EMP00233,56,Finance,83244.41,11,Meets Expectations,90.0,4.0,Yes
EMP00234,46,Engineering,77822.26,16,Needs Improvement,81.0,5.0,No
EMP00235,56,Engineering,95880.29,1,Exceeds Expectations,93.0,2.0,No
EMP00236,46,Finance,66462.54,16,Exceeds Expectations,20.0,3.0,No
EMP00237,50,Marketing,76406.09,6,Exceeds Expectations,23.0,5.0,No
EMP00238,39,Engineering,88036.53,5,Needs Improvement,51.0,2.0,No
EMP00239,39,Marketing,72513.72,5,Meets Expectations,88.0,,No
EMP00240,23,Finance,101727.13,7,Exceeds Expectations,21.0,2.0,No
EMP00241,56,Engineering,131726.66,4,Needs Improvement,93.0,,Yes
EMP00242,37,Engineering,66142.55,14,Needs Improvement,26.0,3.0,No
EMP00243,57,Engineering,,6,Exceeds Expectations,99.0,2.0,No
EMP00244,54,Finance,,2,Exceeds Expectations,87.0,5.0,No
EMP00245,25,HR,81238.3,9,Meets Expectations,34.0,2.0,No
EMP00246,54,Sales,68420.89,2,Needs Improvement,35.0,3.0,No
EMP00247,35,Finance,90196.51,13,Meets Expectations,56.0,4.0,No
EMP00248,42,Engineering,88314.94,2,Meets Expectations,34.0,2.0,No
EMP00249,41,Sales,44919.58,0,Meets Expectations,98.0,5.0,Yes
EMP00250,29,Engineering,39627.9,0,Meets Expectations,69.0,3.0,Yes
EMP00251,28,Engineering,92398.33,18,Meets Expectations,69.0,2.0,No
EMP00252,24,Finance,88385.72,3,Exceeds Expectations,36.0,4.0,Yes
EMP00253,38,Engineering,74354.55,1,Exceeds Expectations,52.0,1.0,No
EMP00254,54,Marketing,43571.41,10,Meets Expectations,85.0,,No
EMP00255,33,Engineering,96784.78,11,Needs Improvement,29.0,2.0,No
EMP00256,43,Sales,116797.49,12,Meets Expectations,72.0,2.0,No
EMP00257,43,Finance,91949.56,15,Needs Improvement,89.0,1.0,No
EMP00258,51,Engineering,63813.15,15,Meets Expectations,34.0,3.0,No
EMP00259,59,Engineering,86113.8,18,Outstanding,36.0,1.0,Yes
EMP00260,59,Engineering,50847.15,19,Meets Expectations,61.0,3.0,No
EMP00261,29,Finance,111449.02,19,Needs Improvement,91.0,2.0,No
EMP00262,48,Engineering,87046.11,8,Meets Expectations,19.0,1.0,No
EMP00263,48,Sales,40796.08,15,Needs Improvement,,2.0,No
EMP00264,55,Sales,77483.14,6,Needs Improvement,39.0,1.0,No
EMP00265,42,Engineering,96582.54,12,Meets Expectations,10.0,2.0,No
EMP00266,51,Marketing,76673.81,3,Meets Expectations,63.0,2.0,No
EMP00267,54,Engineering,78102.61,12,Meets Expectations,13.0,2.0,Yes
EMP00268,49,Engineering,54389.94,7,Needs Improvement,96.0,4.0,Yes
EMP00269,54,Sales,99163.52,1,Meets Expectations,,1.0,Yes
EMP00270,26,Engineering,68788.27,6,Meets Expectations,,4.0,No
EMP00271,40,Finance,31088.87,10,Exceeds Expectations,,2.0,Yes
EMP00272,25,Engineering,75718.57,16,Needs Improvement,74.0,5.0,No
EMP00273,56,Finance,109528.74,13,Exceeds Expectations,38.0,3.0,No
EMP00274,38,Engineering,75326.76,12,Meets Expectations,34.0,1.0,No
EMP00275,49,Sales,128449.62,14,Meets Expectations,49.0,1.0,No
EMP00276,51,Finance,,8,Meets Expectations,35.0,3.0,No
EMP00277,50,Engineering,93468.95,2,Meets Expectations,26.0,4.0,Yes
EMP00278,27,Marketing,81790.04,12,Meets Expectations,40.0,3.0,No
EMP00279,56,Finance,83292.84,12,Needs Improvement,70.0,5.0,Yes
EMP00280,58,Sales,78414.41,8,Exceeds Expectations,17.0,2.0,No
EMP00281,45,Sales,77443.27,17,Needs Improvement,78.0,,No
EMP00282,50,Marketing,98271.68,4,Meets Expectations,10.0,3.0,No
EMP00283,52,Engineering,61604.22,10,Meets Expectations,88.0,2.0,No
EMP00284,56,Sales,58102.65,1,Meets Expectations,80.0,1.0,No
EMP00285,54,Sales,56920.12,16,Exceeds Expectations,55.0,5.0,No
EMP00286,42,Sales,136141.36,19,Outstanding,29.0,3.0,No
EMP00287,53,Marketing,98258.57,3,Low,91.0,3.0,No
EMP00288,44,Sales,92612.31,17,Meets Expectations,49.0,1.0,No
EMP00289,54,Engineering,58562.13,19,Exceeds Expectations,11.0,5.0,Yes
EMP00290,24,HR,100583.56,7,Meets Expectations,70.0,2.0,No
EMP00291,39,Engineering,82085.72,18,Meets Expectations,80.0,2.0,No
EMP00292,46,Sales,90354.22,11,Outstanding,86.0,4.0,Yes
EMP00293,52,Marketing,60584.49,10,Meets Expectations,39.0,5.0,No
EMP00294,24,Sales,89006.72,15,Needs Improvement,39.0,5.0,No
EMP00295,45,Marketing,74404.16,4,Exceeds Expectations,96.0,,No
EMP00296,53,Finance,65859.72,2,Outstanding,54.0,4.0,No
EMP00297,43,Engineering,103352.66,11,Exceeds Expectations,33.0,2.0,No
EMP00298,44,Engineering,46557.3,14,Meets Expectations,93.0,5.0,No
EMP00299,23,Engineering,99119.41,15,Outstanding,65.0,5.0,No
EMP00300,48,Engineering,102112.15,12,Outstanding,92.0,1.0,No
EMP00301,23,Finance,63008.91,6,Outstanding,70.0,2.0,No
EMP00302,47,Finance,64491.79,14,Meets Expectations,22.0,1.0,No
EMP00303,38,Engineering,79424.36,2,Exceeds Expectations,89.0,4.0,Yes
EMP00304,54,HR,92050.91,11,Meets Expectations,65.0,5.0,No
EMP00305,30,Finance,81178.63,7,Needs Improvement,24.0,4.0,No
EMP00306,50,Finance,95839.06,11,Meets Expectations,20.0,1.0,No
EMP00307,47,Engineering,129074.49,17,Exceeds Expectations,21.0,2.0,No
EMP00308,56,Engineering,72307.08,2,Exceeds Expectations,95.0,5.0,No
EMP00309,46,Engineering,42120.5,11,Exceeds Expectations,98.0,2.0,No
EMP00310,45,Finance,105648.09,1,Needs Improvement,12.0,4.0,No
EMP00311,34,Sales,127082.86,13,Meets Expectations,33.0,3.0,No
EMP00312,28,Engineering,94819.21,13,Meets Expectations,98.0,2.0,No
EMP00313,57,Engineering,57806.28,3,Exceeds Expectations,18.0,2.0,Yes
EMP00314,41,Engineering,81902.69,16,Low,,2.0,No
EMP00315,22,Engineering,57036.91,14,Exceeds Expectations,80.0,5.0,No
EMP00316,29,Finance,101071.39,15,Meets Expectations,69.0,4.0,No
EMP00317,37,Sales,51217.74,4,Outstanding,20.0,4.0,No
EMP00318,35,Engineering,77496.78,16,Meets Expectations,19.0,5.0,No
EMP00319,33,Sales,59891.55,6,Meets Expectations,12.0,2.0,No
EMP00320,44,Sales,88170.62,14,Outstanding,28.0,2.0,No
EMP00321,36,Engineering,75841.46,16,Exceeds Expectations,11.0,3.0,No
EMP00322,49,Engineering,89419.05,11,Needs Improvement,26.0,2.0,No
EMP00323,55,Engineering,85558.76,10,Needs Improvement,11.0,1.0,No
EMP00324,23,Engineering,60333.52,18,Exceeds Expectations,62.0,2.0,No
EMP00325,53,Sales,100671.93,10,Meets Expectations,25.0,3.0,No
EMP00326,44,Engineering,83780.86,1,Exceeds Expectations,19.0,,No
EMP00327,43,Finance,60286.77,14,Meets Expectations,77.0,3.0,No
EMP00328,46,Finance,141023.16,4,Outstanding,,3.0,Yes
EMP00329,43,Engineering,96910.75,17,Meets Expectations,99.0,4.0,No
EMP00330,43,Engineering,81168.49,15,Exceeds Expectations,67.0,5.0,No
EMP00331,27,Finance,120380.11,3,Low,69.0,3.0,No
EMP00332,36,Sales,131045.39,9,Meets Expectations,33.0,2.0,Yes
EMP00333,58,Marketing,81366.26,1,Needs Improvement,85.0,4.0,Yes
EMP00334,54,Finance,93684.94,14,Exceeds Expectations,94.0,1.0,Yes
EMP00335,29,Sales,60299.93,3,Exceeds Expectations,25.0,5.0,No
EMP00336,26,Sales,81320.18,15,Meets Expectations,18.0,4.0,No
EMP00337,25,Finance,80023.44,6,Meets Expectations,15.0,3.0,No
EMP00338,27,Engineering,89620.68,11,Exceeds Expectations,74.0,4.0,No
EMP00339,53,Sales,93319.01,2,Exceeds Expectations,87.0,2.0,Yes
EMP00340,51,Engineering,98995.71,16,Meets Expectations,33.0,2.0,No
EMP00341,56,Engineering,90941.07,8,Outstanding,19.0,2.0,No
EMP00342,37,HR,54731.43,7,Exceeds Expectations,91.0,5.0,No
EMP00343,34,Marketing,61538.32,5,Meets Expectations,82.0,4.0,No
EMP00344,51,Finance,71339.81,14,Meets Expectations,36.0,4.0,No
EMP00345,40,Engineering,77943.99,9,Meets Expectations,92.0,3.0,No
EMP00346,38,Engineering,111269.36,5,Exceeds Expectations,12.0,1.0,No
EMP00347,40,Engineering,55926.53,14,Meets Expectations,47.0,2.0,No
EMP00348,49,Engineering,76064.62,13,Exceeds Expectations,82.0,,No
EMP00349,47,Sales,108825.24,18,Low,83.0,1.0,No
EMP00350,58,Finance,,12,Outstanding,82.0,,No
EMP00351,47,Finance,96510.39,13,Exceeds Expectations,26.0,2.0,No
EMP00352,44,Engineering,81511.45,2,Meets Expectations,57.0,3.0,No
EMP00353,30,HR,91419.58,3,Meets Expectations,58.0,5.0,No
EMP00354,33,Engineering,79288.19,13,Needs Improvement,52.0,2.0,No
EMP00355,22,Engineering,,13,Exceeds Expectations,93.0,1.0,No
EMP00356,22,HR,46373.59,7,Exceeds Expectations,16.0,3.0,No
EMP00357,55,Engineering,75917.2,9,Meets Expectations,77.0,4.0,No
EMP00358,53,Finance,92414.32,8,Needs Improvement,83.0,3.0,No
EMP00359,46,HR,98342.38,13,Meets Expectations,30.0,2.0,No
EMP00360,22,Engineering,122323.82,7,Meets Expectations,87.0,2.0,No
EMP00361,37,Marketing,75224.38,10,Meets Expectations,34.0,5.0,Yes
EMP00362,26,Sales,121987.04,9,Meets Expectations,90.0,3.0,No
EMP00363,43,Engineering,68524.4,17,Meets Expectations,70.0,2.0,No
EMP00364,50,Engineering,118216.16,3,Meets Expectations,37.0,1.0,No
EMP00365,24,Engineering,105436.68,3,Meets Expectations,87.0,1.0,No
EMP00366,33,Marketing,62163.54,11,Exceeds Expectations,61.0,3.0,No
EMP00367,47,Engineering,92675.98,17,Meets Expectations,22.0,5.0,No
EMP00368,37,Marketing,83719.1,7,Meets Expectations,43.0,3.0,No
EMP00369,58,Engineering,100639.61,2,Needs Improvement,76.0,5.0,No
EMP00370,43,Engineering,79418.21,17,Meets Expectations,13.0,1.0,Yes
EMP00371,50,Marketing,,6,Outstanding,53.0,2.0,No
EMP00372,35,Engineering,119227.36,0,Low,24.0,4.0,Yes
